_id,grupos
Bk-nRAZ5yb,"[""SyznJMTyb"",""S1MDHzTJZ"",""HyToHM6Jb"",""H1JfIGT1Z"",""BJHjLGp1-"",""HJjcDfTyb"",""BJkyufpJW"",""BkKmdGak-"",""rJaKuMTy-"",""BJJAOzp1-"",""H1W4tGay-"",""SkzqtMpy-"",""HJxyqfayZ"",""Hyw7cGTJb"",""ryHuqfpkW"",""BJxCqfTyZ""]"
ByfhC0-9kW,"[""Skz7rKiyb"",""H1GthHp1b"",""B1eL6B6J-"",""Sy6apHpkW"",""ByUZCBTkb"",""H1cURHT1b"",""SJjKASay-"",""HJb6Ar6y-"",""BkCek86yW"",""HkXUkLT1Z"",""HJgskI6J-"",""SJBaJUa1-"",""r1UelUaJW""]"
Hy42AR-51Z,"[""H12zHtjk-"",""SJB2rso1Z"",""BJtMwsik-"",""r1bVPso1b"",""Sku9DoiyW"",""S1ZlujoJb"",""rJ0UOosJZ"",""ry_o_jjyZ"",""HkhGtioy-""]"
S1Bn0AZ5yW,"[""SyDfipi1-"",""SyeBEknyZ"",""rJ3kry3kZ"",""r1Egrk31Z"",""BJYNSJ3JZ"",""rkwHrkhk-"",""SynMUeTk-"",""SygNIeT1W"",""rk2OUe6JW"",""SkfaLeTkW"",""HykDSF2g-""]"
S1Qn0R-qJW,"[""SyTWh8sJZ"",""S1GV3Usk-"",""Hyuhn8ikZ"",""SyZPpUoJb"",""rJ_ap8i1b"",""rk3f0LskZ""]"
S1hCCZ51W,"[""B1z1vYiJb"",""SyNDdco1Z"",""SyZf95ik-"",""Hk_DsqiJZ"",""rkFx69jJZ"",""BJR2Jssk-"",""SyhfbjoJW"",""BJWTZos1b"",""rJdEQsiJZ"",""HJwsmojJ-"",""rkB_rsoJW"",""HyY6Sii1Z"",""r1mfPsiJW"",""HyWjuss1Z"",""ryKjk3sJW"",""r11XsjkGW""]"
SJl2RAW5y-,"[""ryqgsTjkW"",""S1CHspjkb"",""BJLLhTi1-"",""SyGCnTikW"",""HJXhZAokW"",""SJTbfRi1-"",""HyR8GRokW"",""rkmofCsk-"",""BJfx7Ri1W"",""rk00X0jkb"",""SJjf40iyW"",""Bk8XBRs1b"",""SyXdBRokZ"",""SyAXD0jJW"",""BkqwD0skb"",""rJjoPRs1Z"",""SJlsmdG-Z""]"
rJ8200-ck-,"[""HyexDYsyb"",""By26PYsJb"",""ByK_dYsk-"",""HkgltKiJ-"",""HJOSYFsJZ"",""S1osYYiJ-"",""B1zMnFo1W""]"
